ClientID,Finance PnL Code,ClientName,BU_Division,Segment,Team_Lead,Manager,Tier,SITE,CS Name - Sign Off,Sign off Date,Plan Market Value,Total Value of Service,Billed ,Unbilled,Profit Margin
CAT ,CATE900,CATERPILLAR INSURANCE,USIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Fennie Law,9/18/2017,"494,812,209","9,500","9,500",0,
CCCUSLL,Add to time file,CCC-US LEVERAGED LOAN,GS APAC,Asset Manager,Bob Pratt,Rob Moles,3,BOSTON,Rachel Cardarelli,9/18/2017,"539,564,758","7,500","7,500",,
CBTT,CBTT16A,CENTRAL BANK OF TRINIDAD AND TOBAGO,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Jack Kerrigan,9/18/2017,"3,778,572,228","17,250","14,000","3,250",
CISCO,CISC16C,CISCO SYSTEMS FOUNDATION,IIS,Endowment/Foundation,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Maggie Phan-Truong,9/20/2017,"184,536,049","64,500","10,000","54,500",
COLE,COLE093,COLE REAL ESTATE INVESTMENTS,AIS,Asset Manager,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Maggie Phan-Truong,9/20/2017,"420,671,070","10,000","10,000",0,
TCHF,HLTH160,COLORADO HEALTH FOUNDATION,IIS,Endowment/Foundation,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Eric Harris,9/20/2017,"2,491,955,456","55,875","55,875",0,
CONOSV,CONO16A,CONOCO STABLE VALUE FUND,IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Olga Rudgalve,9/20/2017,"1,347,258,982","1,500",0,"1,500",
CONEDSS,CONE160,CONSOLIDATED EDISON ,IIS,Corporate,Bob Pratt,Rob Moles,2,BOSTON,Jack Kerrigan,9/18/2017,"14,666,190,847","168,750","129,975","38,775",
CONTSS,COAU160,"Continental Tire Automotive, Inc.",IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Olga Rudgalve,9/21/2017,"996,274,324","50,375","46,625","3,750",
CRODA,CRDA160,CRODA,IIS,Corporate,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Maggie Phan-Truong,9/20/2017,"163,762,437","17,750","16,750","1,000",
DELTA,DLDL900,DELTA DENTAL,USIS,Insurance,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Eric Harris,9/20/2017,"396,539,907","21,125","11,750","9,375",
NORFOLK,one pnl code in staffing file is incorrect,EMPLOYEES RETIREMENT SYSTEM OF NORFOLK,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Olga Rudgalve,9/20/2017,"1,061,219,724","15,250","8,500","6,750",
FEDRSRV,FEDR101,FEDERAL RESERVE BANK,IIS,Public Funds,Bob Pratt,Rob Moles,2,BOSTON,Stella Chau,9/18/2017,"24,055,722,190","65,750","65,750",0,
FEDEX,FEDX160,FEDEX,IIS,Corporate,Bob Pratt,Rob Moles,1,BOSTON,Jack Kerrigan,9/18/2017,"25,621,029,107","211,875","62,000","149,875",
THEHART,HLIC160,"HARTFORD, THE",IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Stella Chau,9/18/2017,"3,232,669,445","11,250","10,750",500,
HARV100 ,HARV100,HARVARD MANAGEMENT,USIS,Endowment/Foundation,Bob Pratt,Rob Moles,3,BOSTON,Rachel Cardarelli,9/18/2017,0,"2,500",,"2,500",
CBTT2,HERI100,HERITAGE & STABILISATION FUND,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Jack Kerrigan,9/18/2017,"5,731,159,514","22,000","22,000",0,
IBMS,IBMC160,IBM STABLE VALUE FUND & TAX DEFERRED,IIS,Corporate,Bob Pratt,Rob Moles,1,BOSTON,Jack Kerrigan,9/18/2017,"53,767,153,634","385,750","221,000","164,750",
ILWU,ILWU16A,ILWU -PMA,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Stella Chau,9/18/2017,"5,551,817,000","30,250",0,"30,250",
INVESCO,AIMM102,INVESCO,USIS,Asset Manager,Bob Pratt,Rob Moles,3,BOSTON,Olga Rudgalve,9/21/2017,"1,970,806,129","15,500","12,000","3,500",
IWNE,IWNE160,IRON WORKERS OF NE,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Rachel Cardarelli,9/18/2017,"426,692,536","25,000",0,"25,000",
IRVINE,JIRV160,JAMES IRVINE FOUNDATION,IIS,Endowment/Foundation,Bob Pratt,Rob Moles,3,BOSTON,Olga Rudgalve,9/20/2007,"2,211,473,130","41,000","40,000","1,000",
JPM,JPMO091,JP MORGAN CANADA,IIS Canada,Asset Manager,Bob Pratt,Rob Moles,3,BOSTON,Jack Kerrigan,9/20/2017,"3,190,851,191","14,350","14,350",0,
KBRSS,,KBR US,IIS,Corporate,Bob Pratt,Rob Moles,2,BOSTON,Jack Kerrigan,9/18/2017,"557,493,324","1,000","1,000",0,
KNIGHTV,no data for this client,KNIGHT VINKE,AIS,Asset Manager,Bob Pratt,Rob Moles,3,BOSTON,Jack Kerrigan,9/20/2017,"313,723,116","100,000","75,000","25,000",
LEXIN,LXRS160,LEXINGTON,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Jonathan King,9/19/2017,"160,616,174","12,500","1,000","11,500",
MARS,MARS260,MARS,IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Stella Chau,9/19/2017,"4,498,931,087","89,500","89,500",0,
MDDX,MCRS160,MIDDLESEX RETIREMENT,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Fennie Law,9/18/2017,"1,290,378,220","19,750","15,000","4,750",
OHIODC,OHXX16C,Ohio Public Employees Deferred Compensation Plan,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Olga Rudgalve,9/20/2017,"648,783,435","5,000",0,"5,000",
OKLA,OKFP160,OKLAHOMA FIREFIGHTERS,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Jack Kerrigan,9/18/2017,"2,538,126,350","115,500",0,"115,500",
RSALL,RSAF16B,ROYAL & SUN ALLIANCE,IIS,Insurance,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Eric Harris,9/20/2017,"180,310,850","3,250","2,500",750,
RUSSELLSS,FRMC104,RUSSELL INVESTMENTS,USIS,Asset Manager,Bob Pratt,Maggie Phan-Truong,1,BOSTON,Bob Pratt,9/18/2017,"55,000,000","1,558,381","1,558,381",0,
EDISON,SCED160,SOUTHERN CALIFORNIA EDISON,IIS,Corporate,Bob Pratt,Rob Moles,3,BOSTON,Stella Chau,9/18/2017,"4,281,161,224","109,250","109,250",0,
SBR,SBRF160,STATE BOSTON RETIREMENT FUND,IIS,Public Funds,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Maggie Phan-Truong,9/20/2017,"4,649,593","50,000","50,000",0,
SCCRF,SCGA160,SUPERIOR COURT CLERKS RETIREMENT FUND,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Fennie Law,10/31/2017,"113,615,307","10,250",0,"10,250",
TEXTRS,TRTX16A,TEACHER RETIREMENT SYSTEM OF TEXAS,IIS,Public Funds,Bob Pratt,Rob Moles,1,BOSTON,Stella Chau,9/18/2017,"145,978,155,339","6,259,490",0,"6,259,490",
TTSTC,STTX360,TEXAS TREASURY SAFEKEEPING TRUST,IIS,Public Funds,Bob Pratt,Rob Moles,1,BOSTON,Bradley Whittingstall,9/18/2017,"9,234,948,574","772,527","88,277","684,250",
TEXAS,TVLB160,TEXAS VETERANS LAND BOARD,IIS,Public Funds,Bob Pratt,Rob Moles,3,BOSTON,Bradley Whittingstall,9/18/2017,"825,946,102","68,400",0,"68,400",
HAOCGSS0,HAGC160,UC HEALTH - HEALTH ALLIANCE ,IIS,Endowment/Foundation,Bob Pratt,Rob Moles,3,BOSTON,Fennie Law,9/19/2017,"676,962,209","86,700",0,"86,700",
UMINNSS,UNMN160,UNIVERSITY OF MINNESOTA,IIS,Endowment/Foundation,Bob Pratt,Rob Moles,1,BOSTON,Olga Rudgalve,9/20/2017,"2,358,291,303","169,200","147,500","21,700",
GULF,GSPB160,WESTERVELT COMPANY (FORMERLY GULF STATE),IIS,Corporate,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Eric Harris,9/20/2017,"151,104,541","10,000","10,000",0,
WBCAN,WILL091,WILLIAM BLAIR - CANADA,IIS Canada,Asset Manager,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Eric Harris,9/20/2017,"556,601,673","5,750","5,250",500,
WCB-NWT,Add to time file,WSCC - NWT & NUNAVUT,IIS Canada,Public Funds,Bob Pratt,Maggie Phan-Truong,3,BOSTON,Maggie Phan-Truong,9/20/2017,"379,037,964","11,500","11,000",500,
TJYAWKEY,YAWK160,YAWKEY FOUNDATIONS,IIS,Endowment/Foundation,Bob Pratt,Rob Moles,3,BOSTON,Stella Chau,9/19/2017,"515,030,345","75,000","75,000",0,
ACERA,ACER160,ALAMEDA COUNTY (ACERA),IIS,Public Funds,Carl Hennessy,MABLE LEUNG,2,SACRAMENTO,Yevgeniy Gutsan,9/8/2017,"7,701,918,766","83,000",0,"83,000",
AMGEN,AMGN16A,AMGEN,IIS,Corporate,Carl Hennessy,Azharuddin Mansiya,2,SACRAMENTO,Andrew Robertson,9/13/2017,"41,600,980,435","66,750",0,"66,750",
ASRS,AZRS160,ARIZONA STATE RETIREMENT SYSTEM,IIS,Public Funds,Carl Hennessy,Azharuddin Mansiya,1,SACRAMENTO,Evan Smith,9/8/2017,"38,123,611,253","837,100",0,"837,100",
PINNA,PINC900,PINNACOL ASSURANCE,USIS,Insurance,Carl Hennessy,Mike O'Connell,2,SACRAMENTO,Justin Rozek,9/25/2017,"2,583,051,270","74,622","74,622",0,
BKRK,BLRK100,"BLACKROCK INSTITUTIONAL TRUST CO, NA",Internal,Asset Manager,Carl Hennessy,Azharuddin Mansiya,2,SACRAMENTO,Maverick Madison,9/20/2017,"18,618,197,170","13,000",0,"13,000",
BOYSGSS,BSAX160,BOY SCOUTS,IIS,Endowment/Foundation,Carl Hennessy,Adam Hirbour,2,BOSTON,Andrew Robertson,9/13/2017,"751,190,821","39,500","39,500",0,
CALPERS,CPER16B,CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM (CALPERS),IIS,Public Funds,Carl Hennessy,MABLE LEUNG,1,SACRAMENTO,Steve Medvecki,9/15/2017,"332,558,929,027","1,938,750",,"1,938,750",
CALSTRS,CSTR16A,CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM (CALSTRS),IIS,Public Funds,Carl Hennessy,MABLE LEUNG,1,SACRAMENTO,Justin Rozek,9/18/2017,"213,369,288,823","2,803,699","95,000","2,708,699",
CELANESE,HOEC160,CELANESE,IIS,Corporate,Carl Hennessy,Azharuddin Mansiya,2,SACRAMENTO,Maverick Madison,9/18/2017,"3,173,604,949","89,725","89,725",0,
CHUCK,SCHW100,CHARLES SCHWAB INVESTMENT COMPANY,Internal,Asset Manager,Carl Hennessy,Azharuddin Mansiya,1,SACRAMENTO,Evan Smith,9/8/2017,"140,527,915,903","277,000","267,000","10,000",
HILTGSS,CHIL160,CONRAD HILTON FOUNDATION,IIS,Endowment/Foundation,Carl Hennessy,Azharuddin Mansiya,2,SACRAMENTO,Justin Rozek,9/18/2017,"5,188,281,863","283,250","206,000","77,250",
DGA,,Directors Guild of America,IIS,Corporate,Carl Hennessy,,3,SACRAMENTO,Vu Nguyen,9/18/2017,"3,561,291,238","92,600",0,"92,600",
FRANTEMP,,Franklin Templeton,,Asset Manager,Carl Hennessy,Becca Fang,3,SACRAMENTO,Yevgeniy Gutsan,9/15/2017,"578,667,729","90,000","90,000",0,
JPGSS,JPGT160,GETTY ,IIS,Endowment/Foundation,Carl Hennessy,MABLE LEUNG,2,SACRAMENTO,Vu Nguyen,9/15/2017,"7,175,291,102","324,073","324,073",0,
GOOGLE,GOOG16A,GOOGLE,IIS,Corporate,Carl Hennessy,Azharuddin Mansiya,1,SACRAMENTO,Evan Smith,9/8/2017,"92,003,850,341","354,500","328,500","26,000",
INTEL,ITEL160,INTEL,IIS,Corporate,Carl Hennessy,Azharuddin Mansiya,1,SACRAMENTO,Vu Nguyen,9/11/2017,"11,501,299,464","436,975",0,"436,975",
KFGSS1,PERM16A,KAISER PERMANENTE,IIS,Endowment/Foundation,Carl Hennessy,MABLE LEUNG,1,SACRAMENTO,Justin Rozek,9/18/2017,"68,119,020,339","991,750",0,"991,750",
LACERA,LACE160,LACERA,IIS,Public Funds,Carl Hennessy,MABLE LEUNG,1,SACRAMENTO,Vu Nguyen,9/8/2017,"53,144,828,230","476,000","476,000",0,
LORINGW,,LORING WARD,USIS,Asset Manager,Carl Hennessy,,1,SACRAMENTO,Evan Smith,9/12/2017,"28,613,379","10,000","10,000",0,
MONTANA,MTXX160,MONTANA BOARD OF INVESTMENTS,IIS,Public Funds,Carl Hennessy,MABLE LEUNG,1,SACRAMENTO,Florian Ghiurau,9/20/2017,"27,620,972,561","451,775",0,"451,775",
OOHA,OOHA160,OFFICE OF HAWAIIAN AFFAIRS,IIS,Public Funds,Carl Hennessy,MABLE LEUNG,2,SACRAMENTO,Evan Smith,9/8/2017,"361,607,495","129,625","129,625",0,
OCERS,OERS160,ORANGE COUNTY EMPLOYEES RETIREMENT,IIS,Public Funds,Carl Hennessy,Mable Leung,2,SACRAMENTO,Evan Smith,9/8/2017,"14,695,160,101","103,500",0,"103,500",
PWC,PWCC160,PINNACLE WEST CAPITAL CORP,IIS,Corporate,Carl Hennessy,MABLE LEUNG,2,SACRAMENTO,Evan Smith,9/12/2017,"3,931,330,374","154,600","141,000","13,600",
SACSS,SACR160,SACRAMENTO COUNTY EMPLOYEES RETIREMENT,IIS,Public Funds,Carl Hennessy,MABLE LEUNG,2,SACRAMENTO,Evan Smith,9/8/2017,"8,846,860,805","195,875",0,"195,875",
SERA,SBCR160,SAN BERNARDINO COUNTY RETIREMENT,IIS,Public Funds,Carl Hennessy,MABLE LEUNG,2,SACRAMENTO,Steve Medvecki,9/15/2017,"9,479,198,308","169,875",0,"169,875",
SJRP,SANJ16A,SAN JOSE RETIREMENT PLANS,IIS,Public Funds,Carl Hennessy,Becca Fang,2,SACRAMENTO,Maverick Madison,9/15/2017,"6,048,006,020","198,225","198,225",0,
SONOGSS,SOMA160,SONOMA COUNTY,IIS,Public Funds,Carl Hennessy,MABLE LEUNG,2,SACRAMENTO,Andrew Robertson,9/13/2017,"2,637,604,324","75,200",0,"75,200",
OREGONSS,ORGX16A,STATE OF OREGON,IIS,Public Funds,Carl Hennessy,Azharuddin Mansiya,1,SACRAMENTO,Andrew Robertson,9/13/2017,"97,274,703,137","910,525",0,"910,525",
SOFO,,STATE OF OREGON 457 PROGRAM,IIS,Public Funds,Carl Hennessy,Azharuddin Mansiya,1,SACRAMENTO,Andrew Robertson,9/13/2017,"1,997,516,935","54,000",0,"54,000",
TIAACREF,TIAA102,TIAA-CREF,USIS,Asset Manager,Carl Hennessy,MABLE LEUNG,2,SACRAMENTO,Justin Rozek,9/20/2017,"2,317,953,289","130,000","130,000",0,
UWASH,UNOW160,UNIVERSITY OF WASHINGTON,IIS,Endowment/Foundation,Carl Hennessy,Azharuddin Mansiya,1,SACRAMENTO,Florian Ghiurau,9/20/2017,"5,660,029,491","324,796","136,795","188,001",
WASHIB,WASH160,WASHINGTON SIB,IIS,Public Funds,Carl Hennessy,MABLE LEUNG,1,SACRAMENTO,Florian Ghiurau,9/18/2017,"114,833,829,367","507,800","507,800",0,
WHGF,WHGF160,WBAA CONFIDENTIAL CLIENT,IIS,Endowment/Foundation,Carl Hennessy,Azharuddin Mansiya,1,SACRAMENTO,Yevgeniy Gutsan,9/14/2017,"47,858,417,200","256,600",0,"256,600",
3M,MMMX160,3M,IIS,Corporate,Erik Cady,Joao Da-Cruz,2,BOSTON,James Sucharewicz,9/21/2017,"11,913,192,421","57,750","47,750","10,000",
AFORE,,"Afore Xxi Banorte, S.A. De C.V.",IIS,Public Funds,Erik Cady,Joao Da-Cruz,2,Boston,Joao Da Cruz,9/18/2017,"2,057,567,377","47,425","19,800","27,625",
AMRSS,AMRI160,AMERICAN AIRLINES SAVINGS & PENSION,IIS,Corporate,Erik Cady,Adam Hirbour,2,BOSTON,Michael Dean,8/30/2017,"11,585,023,399","142,900",0,"142,900",
AMRMF,AMRI100,AMERICAN BEACON,USIS,Asset Manager,Erik Cady,Adam Hirbour,1,BOSTON,Michael Dean,8/30/2017,"29,013,655,061","465,775",0,"465,775",
AVECAP,AVCP100,AVENUE CAPITAL MANAGEMENT,USIS,Asset Manager,Erik Cady,Adam Hirbour,2,BOSTON,Kelvin Andrade,9/21/2017,"294,022,293","43,500",0,"43,500",
BDG,BDGU160,BANCO DE GUATEMALA,IIS,Public Funds,Erik Cady,Adam Hirbour,3,BOSTON,Adam Hirbour,9/21/2017,"1,212,255,628","21,000","12,000","9,000",
ALBER,ALLC101,AB Funds - ALBER,USIS,Asset Manager,Erik Cady,Joao Da-Cruz,1,BOSTON,Merit Saar-Beckles,9/25/2017,"15,751,200","16,750","16,750",0,
BAXALTA,BXLT260,BAXALTA INCORPORATED,IIS,Corporate,Erik Cady,Joao Da-Cruz,2,BOSTON,Merit Saar-Beckles,9/25/2017,"899,728,705","30,375","25,375","5,000",
BAX,BAXT16A,BAXTER INTERNATIONAL,IIS,Corporate,Erik Cady,Joao Da-Cruz,2,BOSTON,Joao Da Cruz,9/25/2017,"4,119,191,225","48,000","38,350","9,650",
PROV,CPRV160,CITY OF PROVIDENCE,IIS,Public Funds,Erik Cady,Joao Da-Cruz,2,BOSTON,Merit Saar-Beckles,9/25/2017,"311,607,235","38,750","44,000","-5,250",
IFSCWR,WOBU160,CITY OF WOBURN,IIS,Public Funds,Erik Cady,Joao Da-Cruz,2,BOSTON,Juan Jia,9/25/2017,"143,354,366","35,000","12,500","22,500",
DFA,DIFA100,DIMENSIONAL FUND ADVISORS,USIS,Asset Manager,Erik Cady,Joao Da-Cruz,1,BOSTON,Merit Saar-Beckles,9/26/2017,"157,322,809,756","65,500","63,000","2,500",
BPAM,AMCO260,BRITISH PETROLEUM (BP),IIS,Corporate,Erik Cady,Adam Hirbour,3,BOSTON,Jared Sutton,9/6/2017,"8,506,315,470","22,150","16,900","5,250",
ECCBSS,ECCB160,EASTERN CARIBBEAN CENTRAL BANK,IIS,Public Funds,Erik Cady,Joao Da-Cruz,3,BOSTON,Merit Saar-Beckles,9/26/2017,"1,536,455,955","29,750","16,250","13,500",
IFSFMTH,FALM160,FALMOUTH RETIREMENT SYSTEM,IIS,Public Funds,Erik Cady,Joao Da-Cruz,2,BOSTON,Merit Saar-Beckles,9/25/2017,"140,430,425","31,500",0,"31,500",
CAMB,CAMX160,CAMBREX CORPORATION,IIS,Corporate,Erik Cady,Adam Hirbour,3,Boston,Jared Sutton,9/6/2017,"40,062,889","2,500","2,000",500,
CASEWRU,CASE160,CASE WESTERN RESERVE UNIVERSITY,IIS,Endowment/Foundation,Erik Cady,Adam Hirbour,2,BOSTON,Michael Dean,9/20/2017,"1,452,351,108","198,750","86,950","111,800",
HNKLUSA,HENK160,HENKEL,IIS,Corporate,Erik Cady,Joao Da-Cruz,3,BOSTON,Anthony Labaki,9/26/2017,"981,311,627","30,650","30,650",0,
CATHOLI,CAHP160,CATHOLIC HEALTHCARE PARTNERS,IIS,Endowment/Foundation,Erik Cady,Joao Da-Cruz,2,BOSTON,Anthony Labaki,9/20/2017,"2,127,566,506","88,500","68,500","20,000",
MSRA,MDXX16A,MARYLAND STATE RETIREMENT AGENCY,IIS,Public Funds,Erik Cady,Joao Da-Cruz,1,BOSTON,Yelena Samisheva,9/25/2017,"50,169,487,578","859,250",0,"859,250",
MBTA,MBTA160,MBTA,IIS,Public Funds,Erik Cady,Joao Da-Cruz,2,BOSTON,James Sucharewicz,9/27/2017,"1,549,666,034","91,500","91,500",0,
IFSMCR,MMCI090,MERCER US,USIS,Asset Manager,Erik Cady,Joao Da-Cruz,2,BOSTON,James Sucharewicz,9/27/2017,"49,039,340,170","473,000",0,"473,000",
NORF,NCRX160,NORFOLK COUNTY,IIS,Public Funds,Erik Cady,Joao Da-Cruz,2,BOSTON,Juan Jia,9/25/2017,"925,503,617","68,000",0,"68,000",
PCRA,PLYM160,PLYMOUTH COUNTY RETIREMENT ASSOCIATION,IIS,Public Funds,Erik Cady,Joao Da-Cruz,2,BOSTON,Merit Saar-Beckles,9/25/2017,"984,639,520","63,000","24,250","38,750",
ROCKCRK,WELF101,Rock Creek Group LLC,USIS,Asset Manager,Erik Cady,Joao Da-Cruz,2,BOSTON,Merit Saar-Beckles,9/25/2017,"134,311,219","51,250","50,750",500,
STGOBAIN,SAIN160,SAINT GOBAIN,IIS,Corporate,Erik Cady,Joao Da-Cruz,2,BOSTON,Merit Saar-Beckles,9/26/2017,"2,907,164,684","53,375","53,375",0,
CRAVATH,CRSM160,CRAVATH SWAINE & MOORE,IIS,Corporate,Erik Cady,Adam Hirbour,3,BOSTON,Jared Sutton,9/1/2017,"160,201,594","8,625","7,875",750,
SIMC,SION091,SIONNA INVESTMENT PARTNERS,IIS Canada,Asset Manager,Erik Cady,Joao Da-Cruz,3,BOSTON,Merit Saar-Beckles,9/26/2017,"194,670,413","16,000","16,000",0,
IFSWEB,WBST160,TOWN OF WEBSTER,IIS,Public Funds,Erik Cady,Joao Da-Cruz,2,BOSTON,Merit Saar-Beckles,9/25/2017,"33,748,299","17,750",0,"17,750",
GMIMCO,GEMO16C,GENERAL MOTORS (GMIMCO),IIS,Corporate,Erik Cady,Adam Hirbour,1,BOSTON,Stephen Wall,9/19/2017,"67,424,395,547","812,715","759,800","52,915",
GERSVI,VIXX160,GERS OF THE VIRGIN ISLAND,IIS,Public Funds,Erik Cady,Joao Da-Cruz,3,BOSTON,James Sucharewicz,9/20/2017,"726,168,213","41,250","41,250",0,
GMCAN,GEMO091,GM CANADA,IIS,Corporate,Erik Cady,Adam Hirbour,1,BOSTON,Stephen Wall,9/19/2017,"12,352,267,242","514,440","467,500","46,940",
HARTHC,HHCC260,HARTFORD HEALTHCARE ,IIS,Endowment/Foundation,Erik Cady,Adam Hirbour,3,BOSTON,Jared Sutton,9/8/2017,"3,129,372,417","125,750","123,250","2,500",
HIGHCAP,HCMX100,Highland Capital,USIS,Asset Manager,Erik Cady,Adam Hirbour,2,BOSTON,Michael Dean,9/20/2017,"2,768,327,417","68,000","66,500","1,500",
IPCSS,INTP16A,INTERNATIONAL PAPER COMPANY,IIS,Corporate,Erik Cady,Joao Da-Cruz,2,BOSTON,James Sucharewicz,9/20/2017,"16,551,460,451","229,500","125,000","104,500",
JCPENNEY,JCPE260,J.C.PENNEY COMPANY,IIS,Corporate,Erik Cady,Joao Da-Cruz,3,BOSTON,Anthony Labaki,9/22/2017,"3,504,485,703","26,250","24,500","1,750",
LEHIGH,LEHI160,LEHIGH UNIVERSITY,IIS,Endowment/Foundation,Erik Cady,Adam Hirbour,2,BOSTON,Adam Hirbour,9/21/2017,"1,516,514,441","168,000",0,"168,000",
YADD,IHRI091,LISSOM INVESTMENT MANAGEMENT,IIS Canada,Asset Manager,Erik Cady,Adam Hirbour,3,BOSTON,Michael Dean,9/20/2017,"350,906,081","6,000","6,000",0,
NOVARGSS,SNDZ160,NOVARTIS,IIS,Corporate,Erik Cady,Joao Da-Cruz,3,BOSTON,Anthony Labaki,9/20/2017,"2,371,416,428","65,100","60,000","5,100",
NUVEEN,JNCO100,NUVEEN,USIS,Asset Manager,Erik Cady,Adam Hirbour,2,BOSTON,Michael Dean,9/20/2017,"22,456,241,227","227,500","227,500",0,
PERM,WORM100,PERMANENT PORTFOLIO FAMILY OF FUNDS,USIS,Asset Manager,Erik Cady,Joao Da-Cruz,3,BOSTON,James Sucharewicz,9/20/2017,"2,686,052,466","20,500","20,500",0,
PENAC,PHLS160,PHILIPS ELECTRONICS NORTH AMERICA,IIS,Corporate,Erik Cady,Joao Da-Cruz,3,BOSTON,Anthony Labaki,9/20/2017,"1,780,614,243","50,965","48,325","2,640",
PHLIGHT,,PHILIPS LIGHTING,IIS,Corporate,Erik Cady,Joao Da-Cruz,3,Boston,Anthony Labaki,9/20/2017,"326,636,819","26,500","25,300","1,200",
POSTADVSS,PPAL100,POST ADVISORY GROUP,USIS,Asset Manager,Erik Cady,Adam Hirbour,1,BOSTON,Kelvin Andrade,8/31/2017,"15,812,965,486","852,680","808,180","44,500",
CDPRES,CAIS391,PRESIMA INC,IIS Canada,Asset Manager,Erik Cady,Joao Da-Cruz,3,BOSTON,Yelena Samisheva,9/22/2017,"615,423,874","49,875","45,500","4,375",
RILABOR,LABR16E,RHODE ISLAND LABORERS,IIS,Public Funds,Erik Cady,Adam Hirbour,3,BOSTON,Jared Sutton,9/6/2017,"120,822,478","3,500","2,875",625,
SAM,AIGI101,SUNAMERICA,USIS,Insurance,Erik Cady,Adam Hirbour,2,BOSTON,Jared Sutton,9/1/2017,"27,998,799,988","80,000","79,500",500,
SYNGSS,SYNX160,SYNGENTA,IIS,Corporate,Erik Cady,Adam Hirbour,3,BOSTON,Michael Dean,8/28/2017,"870,979,979","30,000","30,000",0,
HCSS,Add to time file,TRANSCANADA USA SERVICES INC,IIS ,Corporate,Erik Cady,Adam Hirbour,3,BOSTON,Jared Sutton,9/6/2017,"328,389,435","17,625","17,125",500,
