ClientID,ClientName,SalesforceID,Segment,MktSubSegment,Insurance,BU_Division,BusinessUnitHead,OracleID,Tier,IIS_Top_100,SSIA TOP TIER,DirectPublish,ClientStartDate,DateClientTerminated,Site_Lead,Team_Lead,Manager,Primary_Client_Contact,Analyst_1_(A&C),Analyst_2_(CSO),Analyst_3_(Coverage),SITE,BU_Relationship_Managers,BU_Client_Service,COMPLIANCE_CS,AuditLocation,AcctContact,PNASRVR,MCHREGION,DAILY,SECTOR_NAME,Oversight_Site,Oversight_Group,Operations_Email_Dist,JV_Email_Dist,Client_Specific_Email_Dist,Watchlist,CM_Requires_2nd_ Approver
AHA,AMERICAN HEART ASSOCIATION,001G000001jmpqq,,HEALTHCARE,NFP,IIS,SCHECHTER,1.00E+12,3,,,,3/1/2012,9/30/2015,,Kristine Treacy,Kristine Treacy,Vilda Lo,Michael Sanderson,Michael Sanderson,Kristine Treacy,BOSTON,Vokolek Chris,Vokolek Chris,,JV Pune,MCELIGOTT MICHAEL,04PAW3,,NO,,BOSTON,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
AIG,"American International Group, Inc",001G000001jmmmVIAQ,Corporate,RETIREMENT - DB,SA,IIS,AMATO,1.00E+12,3,TOP IIS,TOP SSIA,,1/1/2009,,"Verrill, Scott M","Robinson, Leonard B","Cobb, Miles","Panza, Pietro","O'connor, Brian P","Crimmins, Matthew","Mackey, Paul J",BOSTON,Christopher Igo,Adam Bobola,,JV Pune,MCELIGOTT MICHAEL,13PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team1,JV_QAT_US-PnA Monthly Ops,,Stable,No
AIMCO,Alberta Investment Management Corp (AIMCO),001G000001jmilN,Public Funds,PROVINCIAL ENTITY,CAD,IIS Canada,BAILLIE,1.00E+12,3,,,,1/1/1992,,"Swan, Matthew","Gonsalves, Zico","Gonsalves, Zico","Coelho, Kyle",CAPA4,"Coelho, Kyle","Coelho, Kyle",TORONTO,Steve Baker,Rafiena Rahim,,JV Pune,Rafiena Rahim,02PAW3,CI300,No,Asset Owners,Poland,CAPA4,,JV_QAT_US-PnA Monthly Ops,,Stable,No
ALBER,AB Funds - ALBER,,Asset Manager,ASSET MANAGER,USIS,USIS,DiPietro,1.00E+12,1,,TOP SSIA,,1/8/2014,,"Verrill, Scott M","Cady, Erik G","Da Cruz, Joao J","Da Cruz, Joao J",,"Samisheva, Yelena","Saar-Beckles, Merit",BOSTON,Michelle Ross,Steve Bagley,Tricia Larkin,JV-Pune,"FULCHINO,JAY",04PAW3,CI500,Yes,,Poland,CAPA4,Perf_East_Team2,JV_QAT_US-PnA Daily Ops,,Watch,Yes
ALBERTA,ATB Financial (Alberta Treasury Branches),001G000001jn4XuIAI,Public Funds,ASSET MANAGER,CAD,IIS Canada,BAILLIE,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pulsifer, Erik C","Michaud, Daniel","Michaud, Daniel","Jones, Crystal","Liang, ChiaYi",,Boston,Chris Finlay,Kevin Knight,,JV Pune,RAGELL PETER,02PAW3,CI300,No,,Boston,N/A,Perf_East_Team3,JV_QAT_US-PnA Monthly Ops,,No Status ,No
ALCANC,RIO TINTO ALCAN CANADIAN MT,,Corporate,RETIREMENT - CORP,CAD,IIS Canada,BAILLIE,1.00E+12,2,,,,1/1/2009,6/30/2017,,MATTHEW SWAN,DAVID DAI,ZICO GONSALVES,,TINA MILOSAVLJEVIC,Laura Wykret,TORONTO,Vincent Cristofaro,Andrea Dutcher,Samira Khakpoor,JV Pune,MCELIGOTT MICHAEL,02PAW3,CI400,No,,Poland,CAPA4,,JV_QAT_US-PnA Monthly Ops,,No Status,No
ALCANU,RIO TINTO US MT,,Corporate,RETIREMENT - CORP,CAD,IIS Canada,BAILLIE,1.00E+12,2,,,,1/1/2009,6/30/2017,,MATTHEW SWAN,DAVID DAI,ZICO GONSALVES,,TINA MILOSAVLJEVIC,Laura Wykret,TORONTO,Vincent Cristofaro,Andrea Dutcher,,JV Pune,RAGELL PETER,02PAW3,CI800,No,,Poland,CAPA4,,JV_QAT_US-PnA Monthly Ops,,No Status,No
ALLIBERN,AllianceBernstein,001G000001jminy,Asset Manager,ASSET MANAGER,USIS,USIS,HEINZL,1.00E+12,2,,TOP SSIA,,1/1/2010,,"Swan, Matthew","Gonsalves, Zico","Gonsalves, Zico","Gonsalves, Zico",CAPA4,"Kanthan, Vinay","Kanthan, Vinay",TORONTO,"Ross, Michelle",Anthony Sivongsay,,Poland,Williams Sandra,02PAW3,CI500,Yes,Asset Managers,Poland,CAPA4,,CAPA4,,Watch,Yes
ALLSTATE,Allstate,,,RETIREMENT DC,Unknown,,TERMINATED,1.00E+12,-99,,,,1/1/2009,6/30/2009,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
ALUSGSS,Alusise Lonza,,,RETIREMENT DC,Unknown,,TERMINATED,1.00E+12,-99,,,,1/1/2009,12/31/2011,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
ALYDAIFS,ALYDAR CAPITAL,001G000001jmlnN,Asset Manager,ASSET MANAGER,AIS,AIS,STERNER,,2, , ,,7/1/2014,11/29/2016,,MATTHEW SWAN,DAVID DAI,MATTHEW SWAN,ANDREW NG,ANDREW NG,DAVID DAI,Toronto,STERNER ERIC,STERNER ERIC, ,JV Pune,STERNER ERIC,22PAW3,IFS DW,Yes,,Toronto,,,JV_QAT_US-PnA Daily Ops,,No Status,No
AMERICO,"Americo Life, Inc.",001G000001jmn0F,Insurance,INSURANCE,IIS,Insurance,FORRESTER,1.00E+12,2,,,,4/1/2013,,"Verrill, Scott M","Robinson, Leonard B","O'Connell, Michael","Michaud, Daniel","O'Connell, Michael","Cobb, Miles","Crimmins, Matthew",BOSTON,PALDINO DAVID,,,Boston,Ian Bohn,22PAW3,NULL,No,Insurance,BOSTON,N/A,Perf_East_Team1,,,Stable,No
AMGEN,"Amgen, Inc.",001G000001jmmZg,Corporate,CORPORATE CASH,CPS,IIS,SCHAFER,1.00E+12,3,,,,1/1/2009,,"Pae, Lisa H","Hennessy, Carl J","Mansiya, Azharuddin ","Robertson, Andrew","Fang, Zhiwen","Gutsan, Yevgeniy A","Mansiya, Azharuddin ",SACRAMENTO,IGO CHRISTOPHER,Jacob Musman,,JV-Mumbai,BOUCHARD STEVE,06PAW3,CI500,No,Asset Owners,SACRAMENTO,N/A,Perf_West_Team1,SSIA-US PnA Alameda,,Stable,No
AMRMF,American Beacon Advisors,001G000001jmpKcIAI,Asset Manager,ASSET MANAGER,USIS,USIS,LOWD,1.00E+12,1,,TOP SSIA,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Hirbour, Adam S","Dean, Michael",,"Zhang, Yu Kun","Dean, Michael",BOSTON,Lou Abruzzi,Tricia Cormier,Charlene Barucha,Poland,NONE,02PAW3,CI500,No,,Poland,CAPA4,Perf_East_Team2,CAPA4,,Stable,No
AMRSS,American Airlines Group Inc,001G000001jmqlkIAA,Corporate,RETIREMENT - CORP,CPS,IIS,SCHECHTER,1.00E+12,2,,,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Hirbour, Adam S","Dean, Michael","Sweeney, Adam","Dean, Michael","Andrade, Kelvin",BOSTON,Sean Quigley,Christopher Mattia,Charlene Barucha,JV Pune,MCELIGOTT MICHAEL,02PAW3,CI500,No,,BOSTON,N/A,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
ANGLICAN_CAN,ANGLICAN CHURCH OF CANADA,001G000001jmrQdIAI,Endowment/Foundation,RELIGIOUS,Unknown,IIS Canada,BAILLIE,1.00E+12,3,,,,1/1/2010,12/31/2016,,Erik Pulsifer,Scott Swanson,Dan Michaud,Kelvin Andrade,Kelvin Andrade,Scott Swanson,Boston,Steve Baker,Ken Fernandes,,JV Pune,RAGELL PETER,02PAW3,CI400,No,,Boston,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
ANTOFAGASTA,ANTOFAGASTA PLC,001G000001jmmagIAA,Corporate,RETIREMENT - CORP,LATAM,IIS,SCHAFER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pulsifer, Erik C","Michaud, Daniel","Michaud, Daniel","Mejia, Carmen M","Jones, Crystal",,BOSTON,Karen Agredo,Rocio Castillo,Samira Khakpoor,JV Pune,MCELIGOTT MICHAEL,04PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team3,JV_QAT_US-PnA Monthly Ops,,Stable,No
AOG,ASSOCIATION OF GRADUATES,,,EDUCATION,STS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,9/30/2012,,Performance Operations,,NONE,,,MATTHEW SWAN,TORONTO,,,,, , , , ,,TORONTO,,,,,No Status,No
AON,AON,,,INSURANCE,STS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,1/1/2012,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
APGUS,APG Investments US,001G000001jmjMW,,RETIREMENT DC,Unknown,USIS,,NONE,3,,,,9/9/9999,12/31/2014,,Kristine Treacy,,Unknown,,,,,,,,,,,,,,,,,,,No Status,No
ARC,American National Red Cross,001G000001jmnYG,Endowment/Foundation,HEALTHCARE,NFP,IIS,SCHECHTER,1.00E+12,1,TOP IIS,TOP SSIA,,1/1/2009,,"Verrill, Scott M","Pulsifer, Erik C","Swanson, Scott M","Davuluri, Lalitha","Mcdevitt, Mike","Coughlin, Cheryl A",,BOSTON,SADLER CHRIS,Chris Mattia,,JV Pune,MCELIGOTT MICHAEL,06PAW3,CI500,Yes,Asset Owners,BOSTON,N/A,Perf_East_Team3,JV_QAT_US-PnA Daily Ops,,Watch,Yes
ARCHSTLS,Archdiocese of St. Louis,,,RELIGIOUS,STS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,8/1/2011,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
ARES,"Ares Management, L.P.",001G000001jmu9g,Asset Manager,ASSET MANAGER,USIS,USIS,Kirkland,1.00E+12,3,,,Yes,1/1/2009,,"Verrill, Scott M","Robinson, Leonard B","O'Connell, Michael","Negoshian, Jennifer",,"McIsaac, Kathleen R","Carmisciano, Lisa",BOSTON,Michael Foutes,Ella Melanson,,JV Pune,Camier Greg,06PAW3,,No,Asset Managers,BOSTON,N/A,Perf_East_Team1,JV_QAT_US-PnA Monthly Ops,,Stable,No
ARGUS,ARGUS GROUP Holdings Limited,001G000001jmtI5IAI,Insurance,INSURANCE,CPS,USIS,,1.00E+12,2,,,,4/1/2014,,"Pae, Lisa H","Hennessy, Carl J",,"Hennessy, Carl J",,,,SACRAMENTO,"FLETT, EVAN",,,,NONE,,,,,SACRAMENTO,N/A,Perf_West_Team1,,,No Status,No
ASC,HONEYWELL,,,RETIREMENT - DC,CPS,IIS,SCHECHTER,1.00E+12,2,TOP IIS,TOP SSIA,,1/1/2009,3/31/2015,,Robert Young,Carlisle Adamson,NONE,Nataliya Stepanova,Lucas Irwin,Scott Swanson,BOSTON,MACVARISH KATHY,Mark Hanna,Charlene Barucha,JV Pune,BENKART BRIAN,02PAW3,CI800,No,,BOSTON,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
ASRS,ARIZONA STATE RETIREMENT SYSTEM,001G000001jmip6IAA,Public Funds,STATE ENTITY,PUB FUND,IIS,PAE,1.00E+12,1,TOP IIS,TOP SSIA,,10/1/2009,,"Pae, Lisa H","Tu, Chi T","Mansiya, Azharuddin ","Smith, Evan","He, Justin","He, Justin","Mansiya, Azharuddin ",SACRAMENTO,Ryan Russell,Aaron Poulin,,JV-Mumbai,CASTILLO ROCIO,06PAW3,CIA00,Yes,Ryan Russell,SACRAMENTO,N/A,Perf_West_Team2,SSIA-US PnA Alameda,,Watch,Yes
ASSURANT,"Assurant, Inc.",001G000001jmnW3IAI,Corporate,RETIREMENT - DB,STS,IIS,YOUNG,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Kerrigan, John","Kerrigan, John","Adamson, Carlisle O","Stoychev, Stefan",BOSTON,Steve Chiles,ROONEY JOE,,JV Pune,SWAMI SUNDER VELLA,04PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
ASTO,State of Arizona Treasury,001G000001jmov9IAA,Public Funds,STATE ENTITY,PUB FUND,IIS,SCHAFER,1.00E+12,1,,,,4/1/2014,,"Pae, Lisa H","Tu, Chi T","Leung, Mable","Smith, Evan",,,"Borowy, Anna",SACRAMENTO,Joanne Jackson,Aaron Poulin,,JV-Mumbai,NONE,04PAW3,CIA00,Yes,,Poland,CAPA4,Perf_West_Team2,SSIA-US PnA Alameda,,Stable,No
ATHENE,ATHENE ASSET MANAGEMENT,,,ASSET MANAGER,USIS,USIS,LOWD,1.00E+12,2,,,,1/1/2012,12/1/2014,,Robert Young,Carlisle Adamson,KEVIN NICKERSON,Kevin Nickerson,Kevin Nickerson,Kevin Nickerson,BOSTON,,,,Boston,NONE,13PAW3,,No,,BOSTON,,,,,No Status,No
AUGUSTASS,AUGUSTA HEALTH SYSTEM,,,HEALTHCARE,IIS,,TERMINATED,1.00E+12,-99,,,,1/1/2012,10/1/2012,,Sofia Zahariadis,,NONE,,,PETER STORMENT,BOSTON,,,,, , , , ,,BOSTON,,,,,No Status,No
AVECAP,"Avenue Capital Group, LLC",001G000001jmlVI,Asset Manager,ASSET MANAGER,USIS,USIS,LOWD,1.00E+12,2,,,,6/30/2012,,"Verrill, Scott M","Cady, Erik G","Hirbour, Adam S","Sweeney, Adam","Sweeney, Adam","Dean, Michael","Andrade, Kelvin",BOSTON,Scott Shirrell,Chris McGuire,,JV Pune,NONE,04PAW3,CI500,Yes,Alternatives,BOSTON,N/A,Perf_East_Team2,JV_QAT_US-PnA Daily Ops,,Stable,No
BANKDMEX,BANCO DE MEXICO,001G000001jmo9S,Public Funds,RESERVE,LATAM,IIS,SCHAFER,1.00E+13,3,,,,1/1/2015,,"Swan, Matthew","Swan, Matthew","Swan, Matthew","Joshi, Urvashi",CAPA4,"Doan, Thuy Anh Ngu","Wykret, Laura",TORONTO,Karen Agredo,Roccio Castillo,,JV Pune, ,04PAW3, , ,Official Institutions,Poland,CAPA4,,JV_QAT_US-PnA Monthly Ops,,Stable,No
BAX,Baxter International Inc.,001G000001jmn51IAA,Corporate,RETIREMENT DB/DC,CPS,IIS,SCHAFER,1.00E+12,2,TOP IIS,TOP SSIA,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Da Cruz, Joao J","Luong, Jam",,"Jia, Juan V","Labaki, Anthony J",BOSTON,LICHTY STEVE,Luis Belo,,JV Pune,BENKART BRIAN,13PAW3,CI800,No,,Poland,CAPA4,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
BAXALTA,BAXALTA INC.,0011600001vvtpW,Corporate,RETIREMENT DB/DC,CPS,IIS,SCHAFER,1.00E+13,2,TOP IIS,TOP SSIA,,5/1/2015,,"Verrill, Scott M","Cady, Erik G","Da Cruz, Joao J","Luong, Jam",,"Jia, Juan V","Labaki, Anthony J",BOSTON,LICHTY STEVE,Luis Belo,,JV Pune,BENKART BRIAN,13PAW3,CI800,No,Asset Owners,Poland,CAPA4,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
BCBSM,Blue Cross and Blue Shield of Michigan,001G000001jmnDD,Corporate,HEALTHCARE,USIS,Insurance,RASK,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Robinson, Leonard B","Cobb, Miles","Cobb, Miles","Huang, Min","Crimmins, Matthew","Negoshian, Jennifer",BOSTON, Dan Cummings,Ben A. Mejia,,JV Pune,BITTNER ERIC(LS),02PAW3,CI800,No,Insurance,BOSTON,N/A,Perf_East_Team1,JV_QAT_US-PnA Monthly Ops,,Stable,No
BCEAGLE,BOSTON COLLEGE,,,EDUCATION,STS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,5/31/2012,,Shawnna Sigda,,NONE,,,PETER STORMENT,BOSTON,,,,, , , , ,,BOSTON,,,,,No Status,No
BCKF,Arnold And Mabel Beckman Foundation,001G000001jmikQIAQ,Endowment/Foundation,RESEARCH,STS,IIS,SCHECHTER,1.00E+12,3,,,,1/1/2009,1/1/2017,,Bob Pratt,Scott Swanson,Eric Harris,Min Huang,Min Huang,Scott Swanson,BOSTON,Sarah Seeley,Sarah Seeley,,JV-Mumbai,SWAMI SUNDER VELLA,04PAW3,CI800,No,,BOSTON,Core Team,,SSIA-US PnA Alameda,,No Status,No
BDG,BANCO DE GUATEMALA,001G000001jmoGI,Public Funds,RESERVE,LATAM,IIS,SCHAFER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Hirbour, Adam S","Sutton, Jared E","Burton, Eric C","Sutton, Jared E","Wall, Stephen M",BOSTON,Karen Agredo,Rocio Castillo,Charlene Barucha,JV Pune,MCELIGOTT MICHAEL,06PAW3,CI800,NO,,BOSTON,N/A,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
BEACH,BEACH POINT CAPITAL MANAGEMENT,,,ASSET MANAGER,USIS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,10/31/2012,,Erik Cady,,Jeffrey Malmin,,,JEFFREY MALMIN,BOSTON,,,,, , , , ,,BOSTON,,,,,No Status,No
BEAUMONT,Beaumont Health,,,HEALTHCARE,USIS,USIS,SCHAFER,1.00E+13,2,,,,1/1/2017,,"Verrill, Scott M","Robinson, Leonard B","O'Connell, Michael","Negoshian, Jennifer","McIsaac, Kathleen R","Ramos, Levi","Carmisciano, Lisa",BOSTON,Ron Gayton,Karen Colitti,,JV Pune,"BEAUMONT, JAN",04PAW3,CIA00,No,,BOSTON,N/A,Perf_East_Team1,JV_QAT_US-PnA Monthly Ops,,No Status,No
BECHGSS,Bechtel Corp,001G000001jmn5JIAQ,Corporate,RETIREMENT - CORP,DCS,IIS,SCHECHTER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pulsifer, Erik C","Michaud, Daniel","Michaud, Daniel","Manferdini, David","Jones, Crystal",,BOSTON,LICHTY STEVE,Mike Hanna,Samira Khakpoor,Boston,BENKART BRIAN,06PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team3,,,No Status ,No
BECHNR,BECHTEL NR,,Corporate,RETIREMENT - CORP,IIS,IIS,SCHECHTER,1.00E+12,3,,,,1/1/2012,12/1/2016,,Erik Pulsifer,Scott Swanson,Dan Michaud,Stephanie Malley,Rachel Cardarelli,Becca Fang,BOSTON,LICHTY STEVE,Mike Hanna,,Boston,BENKART BRIAN,06PAW3,CI800,No,,BOSTON,CAPA5,,,,No Status,No
BHBANK,BLUE HILLS BANK,,,RETIREMENT DB/DC,CPS,,GORDON,1.00E+12,3,,,,10/1/2012,12/31/2013,,CHI TU,,NONE,,,PETER STORMENT,BOSTON,WALD SETH,,,, , , , ,,BOSTON,,,,,No Status,No
